№з/п,Повне найменування політичної партії,Дата реєстрації політичної партії(дд.мм.рррр),Номер свідоцтва про реєстрацію політичної партії,Адреса місцезнаходження керівних органів місцевої організації партії (юридична адреса)
100.,Українська партія «Зелена планета»,24.03.2005,№ 118-п.п.,"м. Київ, вул. Хрещатик, 7/11, оф.21;"
101.,Політична партія «Україна Соборна»,24.03.2005,№ 119-п.п.,"01013, м. Київ,  вулиця Промислова, буд. 4/7, офіс 10"
102.,Партія Труда,25.03.2005,№ 120-п.п.,"м. Київ, Оболонський проспект, 23-А"
103.,Партія «Громадянська солідарність»,25.03.2005,№ 121-п.п.,"02060, м. Київ, вул. Братиславська, 52"
104.,ПОЛІТИЧНА ПАРТІЯ «ПАРТІЯ ВІННИЧАН»,25.03.2005,№ 122-п.п.,"01103, м. Київ, вул. Михайла Бойчука, буд. 7/11, кв. 2"
105.,Партія «Сильна Україна»,25.03.2005,№ 123-п.п.,"01032, м. Київ, вул. Симона Петлюри, 30"
106.,Політична партія «Совість України»,25.03.2005,№ 125-п.п.,"86420, Донецька обл., м. Єнакієве,вул. Комуністична, буд. 55, кв. 202.(В ЄРГФ місцезнаходження – м. Київ, вул. Львівська, 49)"
107.,Політична партія «ПАТРІОТ»,25.03.2005,№ 126-п.п.,"01032, м. Київ,  вул. Антоновича, буд. 157"
108.,ПОЛІТИЧНА ПАРТІЯ «НАРОДНА ПРОГРАМА ВАДИМА ЧОРНОГО»,20.07.2005,№ 128-п.п.,"04080, м. Київ, вул. Кирилівська, буд. 102"
109.,Політична партія «Соціал-Патріотична Асамблея Слов’ян»,14.02.2006,№ 129-п.п.,"м. Київ, вул. Ревуцького, 44-б, кв.65"
110.,Політична партія «Народно-трудовий союз України»,11.04.2006,№ 130-п.п.,"01001, м. Київ, вул. Трьохсвятительська, буд.13, офіс 6"
111.,Політична партія «СПІЛЬНА ДІЯ»,10.07.2006,№ 132-п.п.,"м. Київ, вул. Горького, 20-Б, оф. 22"
112.,Політична партія «Європейська партія України»,03.08.2006,№ 133-п.п.,"01054, м. Київ, вул. Оболонська, 13-15, кв.9"
113.,Політична партія «Велика Україна»,15.09.2006,№ 134-п.п.,"04080, м. Київ, вул. Кирилівська, буд. 82, оф. 256  (В ЄРГФ місцезнаходження – м. Київ, вул. Фрунзе, 82, оф. 256)"
114.,Політична партія «Ліберально-гуманістична партія «Товариш»,15.09.2006,№ 135-п.п.,"м. Київ, пров. Коломиївський, 3/1"
115.,Аграрна партія України,14.11.2006,№ 136-п.п.,"м. Київ, площа Солом’янська, 2"
116.,Політична Партія «КОЗАЦЬКА СЛАВА»,29.11.2006,№ 137-п.п.,"м. Київ, вул. Михайла Грушевського, 28/2, оф. 43"
117.,Політична партія «Політичне об’єднання «Пряма дія»,13.12.2006,№ 138-п.п.,"м. Київ, вул. Якіра, 8, оф. 39"
118.,Українська республіканська партія,21.12.2006,№ 139-п.п.,"01034, м. Київ, вул. Олеся Гончара,буд. 25, кв. 12"
119.,Українська партія (В ЄРГФ найменування в лапках – «Українська партія»),27.12.2006,№ 140-п.п.,"04080, м. Київ, вул. Костянтинівська, буд. 68, кім. 409"
120.,Політична партія «Українські соціал-демократи»,20.01.2007,№ 141-п.п.,"02097, м. Київ, вул. Радунська, 38, кв. 90"
121.,Партія «Київська Русь»,13.04.2007,№ 143-п.п.,"м. Київ, просп. Павла Тичини, 10, кв. 52"
122.,Політична партія «Фронт Змін» (в стані припинення),26.06.2007,№ 144-п.п.,"м. Київ, вул. Верхній Вал, 4-А, кім. 17"
123.,Політична Партія «Біла Церква разом»,14.01.2008,№ 145-п.п.,"м. Київ, вул. Івана Мазепи, буд. 3,офіс 174"
124.,Політична партія «Союз Лівих Сил»,28.01.2008,№ 146-п.п.,"04053, м. Київ, вул. Артема, 11-А"
125.,ПОЛІТИЧНА ПАРТІЯ «БЛОК ЛІВИХ СИЛ УКРАЇНИ»,01.02.2008,№ 147-п.п.,"м. Київ, вул. Ентузіастів, 15, к. 157"
126.,Всеукраїнська козацька партія,05.05.2008,№ 148-п.п.,"01001, м. Київ, вул. Мала Житомирська, 11, офіс 5А"
127.,Політична партія «РУСИЧИ»,07.05.2008,№ 149-п.п.,"01024, м. Київ, вул. Академіка Богомольця, 6"
128.,Політична партія «Партія Козаків України»,10.06.2008,№ 150-п.п.,"83087, Донецька обл., м. Донецьк, просп. Офіцерський, буд. 69-Г  (В ЄРГФ місцезнаходження –81001, Донецька обл., м. Донецьк,вул. Постишева, буд. 60, оф. 733)"
129.,Політична партія «Козацька Українська Партія»,10.06.2008,№ 151-п.п.,"04212, м. Київ, вул. Тимошенка, 1д, кв. 3"
130.,Політична партія «За Майбутнє»,18.07.2008,№ 152-п.п.,"01024, м. Київ, вул. Лютеранська,буд. 16, кв. 31"
131.,Політична партія «ПОБРАТИМИ УКРАЇНИ»,04.09.2008,№ 154-п.п.,"м. Київ, вул. Ярославська, 32/33"
132.,Політична партія «Воля народу»,02.10.2008,№ 155-п.п.,"м. Київ, вул. Зоологічна, буд. 4-а, оф. 139"
133.,Політична Партія «САМОВРЯДНА УКРАЇНСЬКА ДЕРЖАВА»,02.10.2008,№ 156-п.п.,"м. Київ, вул. Щербакова, 34, кв. 51"
134.,Політична партія «Партія захисту прав людини»,06.10.2008,№ 157-п.п.,"65033, м. Одеса, вул. Щорса, 103"
135.,Політична партія «Зелені»,16.10.2008,№ 158-п.п.,"01001, м. Київ, вул. Рибальська, буд. 13, н.п. 46"
136.,Політична партія «Кияни передусім!»,23.10.2008,№ 159-п.п.,"м. Київ, вул. Шолуденка, 2"
137.,Політична партія «Єдина Країна»,24.10.2008,№ 160-п.п.,"03057, м. Київ, вул. Софії Перовської, буд. 10, корпус Б, офіс.(В ЄРГФ місцезнаходження –03057, м. Київ, вул. Софії Перовської, буд 10, літера «Б»)"
138.,Політична партія «Громадянський рух «Хвиля»,28.10.2008,№ 161-п.п.,"02091, м. Київ, вул. Харківське Шосе, будинок 62, квартира 145"
139.,Політична партія«БЛОК ОПОЗИЦІЙНИХ СИЛ»,18.11.2008,№ 163-п.п.,"01015, м. Київ, вул. Старонаводницька, буд.  29"
